2018-19
FIRST TEAM

SECOND TEAM

F: Adrian Dantley
F: Julius Erving
C: Moses Malone
G: Sidney Moncrief
G: Jim Paxson

1982-83
FIRST TEAM

F: Julius Erving
F: Larry Bird
C: Moses Malone
G: Sidney Moncrief
G: Magic Johnson

SECOND TEAM

F: Alex English
F: Buck Williams
C: Kareem Abdul-Jabbar
G: George Gervin
G: Isiah Thomas

1981-82
FIRST TEAM

F: Julius Erving
F: Larry Bird
C: Moses Malone
G: George Gervin
G: Gus Williams

SECOND TEAM

F: Alex English
F: Bernard King
C: Robert Parish
G: Sidney Moncrief
G: Magic Johnson

1980-81
FIRST TEAM

F: Julius Erving
F: Larry Bird
C: Kareem Abdul-Jabbar
G: George Gervin
G: Dennis Johnson

SECOND TEAM

F: Adrian Dantley
F: Marques Johnson
C: Moses Malone
G: Tiny Archibald
G: Otis Birdsong

1979-80
FIRST TEAM

F: Julius Erving
F: Larry Bird
C: Kareem Abdul-Jabbar
G: George Gervin
G: Paul Westphal

SECOND TEAM

F: Dan Roundfield
F: Marques Johnson
C: Moses Malone
G: Dennis Johnson
G: Gus Williams

1978-79
FIRST TEAM

F: Elvin Hayes
F: Marques Johnson
C: Moses Malone
G: George Gervin
G: Paul Westphal

SECOND TEAM

F: Bob Dandridge
F: Walter Davis
C: Kareem Abdul-Jabbar
G: Phil Ford
G: World B. Free

1977-78
FIRST TEAM

F: Julius Erving
F: Truck Robinson
C: Bill Walton
G: George Gervin
G: David Thompson

SECOND TEAM

F: Maurice Lucas
F: Walter Davis
C: Kareem Abdul-Jabbar
G: Pete Maravich
G: Paul Westphal

1976-77
FIRST TEAM

F: Elvin Hayes
F: David Thompson
C: Kareem Abdul-Jabbar
G: Pete Maravich
G: Paul Westphal

SECOND TEAM

F: Julius Erving
F: George McGinnis
C: Bill Walton
G: George Gervin
G: Jo Jo White

1975-76
FIRST TEAM

F: Rick Barry
F: George McGinnis
C: Kareem Abdul-Jabbar
G: Pete Maravich
G: Tiny Archibald

SECOND TEAM

F: John Havlicek
F: Elvin Hayes
C: Dave Cowens
G: Phil Smith
G: Randy Smith

1974-75
FIRST TEAM

F: Rick Barry
F: Elvin Hayes
C: Bob McAdoo
G: Tiny Archibald
G: Walt Frazier

SECOND TEAM

F: John Havlicek
F: Spencer Haywood
C: Dave Cowens
G: Phil Chenier
G: Jo Jo White

1973-74
FIRST TEAM

F: Rick Barry
F: John Havlicek
C: Kareem Abdul-Jabbar
G: Gail Goodrich
G: Walt Frazier

SECOND TEAM

F: Elvin Hayes
F: Spencer Haywood
C: Bob McAdoo
G: Dave Bing
G: Norm Van Lier

1972-73
FIRST TEAM

F: Spencer Haywood
F: John Havlicek
C: Kareem Abdul-Jabbar
G: Tiny Archibald
G: Jerry West

SECOND TEAM

F: Elvin Hayes
F: Rick Barry
C: Dave Cowens
G: Walt Frazier
G: Pete Maravich

1971-72
FIRST TEAM

F: Spencer Haywood
F: John Havlicek
